phase,endpoint,params_json,raw_path
phase1,empSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00126256"", ""reprt_code"": ""11011""}",raw/empSttus/00126256_2025_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00126256"", ""reprt_code"": ""11012""}",raw/otrCprInvstmntSttus/00126256_2025_11012.json
phase1,hyslrSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00126256"", ""reprt_code"": ""11012""}",raw/hyslrSttus/00126256_2025_11012.json
phase1,irdsSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00126256"", ""reprt_code"": ""11012""}",raw/irdsSttus/00126256_2025_11012.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00126256"", ""reprt_code"": ""11012""}",raw/cprndNrdmpBlce/00126256_2025_11012.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00126256"", ""reprt_code"": ""11012""}",raw/newCaplScritsNrdmpBlce/00126256_2025_11012.json
phase1,alotMatter,"{""bsns_year"": ""2025"", ""corp_code"": ""00126256"", ""reprt_code"": ""11012""}",raw/alotMatter/00126256_2025_11012.json
phase1,empSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00126256"", ""reprt_code"": ""11012""}",raw/empSttus/00126256_2025_11012.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00126256"", ""reprt_code"": ""11012""}",raw/otrCprInvstmntSttus/00126256_2026_11012.json
phase1,hyslrSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00126256"", ""reprt_code"": ""11012""}",raw/hyslrSttus/00126256_2026_11012.json
phase1,irdsSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00126256"", ""reprt_code"": ""11012""}",raw/irdsSttus/00126256_2026_11012.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2026"", ""corp_code"": ""00126256"", ""reprt_code"": ""11012""}",raw/cprndNrdmpBlce/00126256_2026_11012.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2026"", ""corp_code"": ""00126256"", ""reprt_code"": ""11012""}",raw/newCaplScritsNrdmpBlce/00126256_2026_11012.json
phase1,alotMatter,"{""bsns_year"": ""2026"", ""corp_code"": ""00126256"", ""reprt_code"": ""11012""}",raw/alotMatter/00126256_2026_11012.json
phase1,empSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00126256"", ""reprt_code"": ""11012""}",raw/empSttus/00126256_2026_11012.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00139214_2021_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00139214_2021_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/irdsSttus/00139214_2021_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2021"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00139214_2021_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2021"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00139214_2021_11011.json
phase1,alotMatter,"{""bsns_year"": ""2021"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/alotMatter/00139214_2021_11011.json
phase1,empSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/empSttus/00139214_2021_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00139214_2022_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00139214_2022_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/irdsSttus/00139214_2022_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2022"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00139214_2022_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2022"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00139214_2022_11011.json
phase1,alotMatter,"{""bsns_year"": ""2022"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/alotMatter/00139214_2022_11011.json
phase1,empSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/empSttus/00139214_2022_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00139214_2023_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00139214_2023_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/irdsSttus/00139214_2023_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2023"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00139214_2023_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2023"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00139214_2023_11011.json
phase1,alotMatter,"{""bsns_year"": ""2023"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/alotMatter/00139214_2023_11011.json
phase1,empSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/empSttus/00139214_2023_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00139214_2024_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00139214_2024_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/irdsSttus/00139214_2024_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2024"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00139214_2024_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2024"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00139214_2024_11011.json
phase1,alotMatter,"{""bsns_year"": ""2024"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/alotMatter/00139214_2024_11011.json
phase1,empSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/empSttus/00139214_2024_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00139214_2025_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00139214_2025_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/irdsSttus/00139214_2025_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00139214_2025_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00139214_2025_11011.json
phase1,alotMatter,"{""bsns_year"": ""2025"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/alotMatter/00139214_2025_11011.json
phase1,empSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00139214"", ""reprt_code"": ""11011""}",raw/empSttus/00139214_2025_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00139214"", ""reprt_code"": ""11012""}",raw/otrCprInvstmntSttus/00139214_2025_11012.json
phase1,hyslrSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00139214"", ""reprt_code"": ""11012""}",raw/hyslrSttus/00139214_2025_11012.json
phase1,irdsSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00139214"", ""reprt_code"": ""11012""}",raw/irdsSttus/00139214_2025_11012.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00139214"", ""reprt_code"": ""11012""}",raw/cprndNrdmpBlce/00139214_2025_11012.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00139214"", ""reprt_code"": ""11012""}",raw/newCaplScritsNrdmpBlce/00139214_2025_11012.json
phase1,alotMatter,"{""bsns_year"": ""2025"", ""corp_code"": ""00139214"", ""reprt_code"": ""11012""}",raw/alotMatter/00139214_2025_11012.json
phase1,empSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00139214"", ""reprt_code"": ""11012""}",raw/empSttus/00139214_2025_11012.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00139214"", ""reprt_code"": ""11012""}",raw/otrCprInvstmntSttus/00139214_2026_11012.json
phase1,hyslrSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00139214"", ""reprt_code"": ""11012""}",raw/hyslrSttus/00139214_2026_11012.json
phase1,irdsSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00139214"", ""reprt_code"": ""11012""}",raw/irdsSttus/00139214_2026_11012.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2026"", ""corp_code"": ""00139214"", ""reprt_code"": ""11012""}",raw/cprndNrdmpBlce/00139214_2026_11012.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2026"", ""corp_code"": ""00139214"", ""reprt_code"": ""11012""}",raw/newCaplScritsNrdmpBlce/00139214_2026_11012.json
phase1,alotMatter,"{""bsns_year"": ""2026"", ""corp_code"": ""00139214"", ""reprt_code"": ""11012""}",raw/alotMatter/00139214_2026_11012.json
phase1,empSttus,"{""bsns_year"": ""2026"", ""corp_code"": ""00139214"", ""reprt_code"": ""11012""}",raw/empSttus/00139214_2026_11012.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00159102_2021_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00159102_2021_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/irdsSttus/00159102_2021_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2021"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00159102_2021_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2021"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00159102_2021_11011.json
phase1,alotMatter,"{""bsns_year"": ""2021"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/alotMatter/00159102_2021_11011.json
phase1,empSttus,"{""bsns_year"": ""2021"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/empSttus/00159102_2021_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00159102_2022_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00159102_2022_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/irdsSttus/00159102_2022_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2022"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00159102_2022_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2022"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00159102_2022_11011.json
phase1,alotMatter,"{""bsns_year"": ""2022"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/alotMatter/00159102_2022_11011.json
phase1,empSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/empSttus/00159102_2022_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00159102_2023_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00159102_2023_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/irdsSttus/00159102_2023_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2023"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00159102_2023_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2023"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00159102_2023_11011.json
phase1,alotMatter,"{""bsns_year"": ""2023"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/alotMatter/00159102_2023_11011.json
phase1,empSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/empSttus/00159102_2023_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00159102_2024_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00159102_2024_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/irdsSttus/00159102_2024_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2024"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00159102_2024_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2024"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00159102_2024_11011.json
phase1,alotMatter,"{""bsns_year"": ""2024"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/alotMatter/00159102_2024_11011.json
phase1,empSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/empSttus/00159102_2024_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/otrCprInvstmntSttus/00159102_2025_11011.json
phase1,hyslrSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/hyslrSttus/00159102_2025_11011.json
phase1,irdsSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/irdsSttus/00159102_2025_11011.json
phase1,cprndNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/cprndNrdmpBlce/00159102_2025_11011.json
phase1,newCaplScritsNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/newCaplScritsNrdmpBlce/00159102_2025_11011.json
phase1,alotMatter,"{""bsns_year"": ""2025"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/alotMatter/00159102_2025_11011.json
phase1,empSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00159102"", ""reprt_code"": ""11011""}",raw/empSttus/00159102_2025_11011.json
phase1,otrCprInvstmntSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00159102"", ""reprt_code"": ""11012""}",raw/otrCprInvstmntSttus/00159102_2025_11012.json
phase1,hyslrSttus,"{""bsns_year"": ""2025"", ""corp_code"": ""00159102"", ""reprt_code"": ""11012""}",raw/hyslrSttus/00159102_2025_11012.json
